ISO3,year,value
BEL,1846,414000.0
BEL,1856,525000.0
BEL,1866,627000.0
BEL,1880,701000.0
BEL,1890,827000.0
BEL,1900,1046000.0
BEL,1910,1184000.0
BEL,1920,1173000.0
BEL,1930,1426000.0
BEL,1947,1347000.0
BEL,1961,1316000.0
BEL,1970,1493903.0
BEL,1971,1492296.0
BEL,1972,1470163.0
BEL,1973,1471072.0
BEL,1974,1473849.0
BEL,1975,1418280.0
BEL,1976,1372726.0
BEL,1977,1331691.0
BEL,1978,1288703.0
BEL,1979,1259537.0
BEL,1980,1224876.0
BEL,1981,1155856.0
BEL,1982,1100688.0
BEL,1983,1059261.0
BEL,1984,1038256.0
BEL,1985,1022604.0
BEL,1986,1008453.0
BEL,1987,989850.0
BEL,1988,989735.0
BEL,1989,1005249.0
BEL,1990,1011963.0
BEL,1991,1004797.0
BEL,1992,986736.0
BEL,1993,952280.0
BEL,1994,928597.0
BEL,1995,918136.0
BEL,1996,905219.0
BEL,1997,893630.0
BEL,1998,894696.0
BEL,1999,888789.0
BEL,2000,899754.0
BEL,2001,908691.0
BEL,2002,879646.0
BEL,2003,859808.0
BEL,2004,846886.0
BEL,2005,843837.0
BEL,2006,846903.0
BEL,2007,850901.0
FIN,1805,31000.0
FIN,1880,48000.0
FIN,1900,95000.0
FIN,1910,175000.0
FIN,1920,192000.0
FIN,1930,252000.0
FIN,1940,375000.0
FIN,1950,550000.0
FIN,1960,640000.0
FIN,1970,736600.0
FIN,1971,736100.0
FIN,1972,763600.0
FIN,1973,805300.0
FIN,1974,806500.0
FIN,1975,800800.0
FIN,1976,769300.0
FIN,1977,743200.0
FIN,1978,721200.0
FIN,1979,739600.0
FIN,1980,769000.0
FIN,1981,765900.0
FIN,1982,760000.0
FIN,1983,755300.0
FIN,1984,749000.0
FIN,1985,740500.0
FIN,1986,726900.0
FIN,1987,718400.0
FIN,1988,718400.0
FIN,1989,726700.0
FIN,1990,720500.0
FIN,1991,649200.0
FIN,1992,579000.0
FIN,1993,529900.0
FIN,1994,519100.0
FIN,1995,537900.0
FIN,1996,545400.0
FIN,1997,572200.0
FIN,1998,590200.0
FIN,1999,605600.0
FIN,2000,620100.0
FIN,2001,621000.0
FIN,2002,613000.0
FIN,2003,602600.0
FIN,2004,594599.0
FIN,2005,602897.0
FIN,2006,613797.0
FIN,2007,628596.0
FRA,1856,3793000.0
FRA,1866,3861000.0
FRA,1886,4295000.0
FRA,1896,5394000.0
FRA,1901,5847000.0
FRA,1906,6053000.0
FRA,1911,6931000.0
FRA,1921,6371000.0
FRA,1926,7021000.0
FRA,1931,7195000.0
FRA,1936,6182000.0
FRA,1946,6186000.0
FRA,1954,7003000.0
FRA,1962,7426000.0
FRA,1968,8087000.0
FRA,1970,7494729.0
FRA,1971,7525567.0
FRA,1972,7573049.0
FRA,1973,7695992.0
FRA,1974,7734684.0
FRA,1975,7497638.0
FRA,1976,7444960.0
FRA,1977,7405835.0
FRA,1978,7285673.0
FRA,1979,7193017.0
FRA,1980,7138653.0
FRA,1981,6919852.0
FRA,1982,6798498.0
FRA,1983,6608331.0
FRA,1984,6344934.0
FRA,1985,6159997.0
FRA,1986,6072384.0
FRA,1987,5963969.0
FRA,1988,5927442.0
FRA,1989,5978264.0
FRA,1990,5987200.0
FRA,1991,5892800.0
FRA,1992,5684700.0
FRA,1993,5386700.0
FRA,1994,5229500.0
FRA,1995,5230900.0
FRA,1996,5153200.0
FRA,1997,5068300.0
FRA,1998,5052900.0
FRA,1999,5062200.0
FRA,2000,5157300.0
FRA,2001,5228000.0
FRA,2002,5177300.0
FRA,2003,5103600.0
FRA,2004,5022400.0
FRA,2005,5011346.0
FRA,2006,5018736.0
FRA,2007,5051018.0
JPN,1872,833000.0
JPN,1880,1290000.0
JPN,1890,2340000.0
JPN,1900,3427000.0
JPN,1910,4619000.0
JPN,1920,5668000.0
JPN,1930,6117000.0
JPN,1940,8563000.0
JPN,1950,8100000.0
JPN,1953,9453817.0
JPN,1954,9742288.0
JPN,1955,9899853.0
JPN,1956,10569274.0
JPN,1957,11543690.0
JPN,1958,12197838.0
JPN,1959,12686762.0
JPN,1960,13486464.0
JPN,1961,14337073.0
JPN,1962,15128892.0
JPN,1963,15571945.0
JPN,1964,16147960.0
JPN,1965,16597646.0
JPN,1966,17006263.0
JPN,1967,17857048.0
JPN,1968,18065219.0
JPN,1969,18465623.0
JPN,1970,18698328.0
JPN,1971,19017920.0
JPN,1972,19184251.0
JPN,1973,20068159.0
JPN,1974,19850682.0
JPN,1975,19169640.0
JPN,1976,19227868.0
JPN,1977,19145078.0
JPN,1978,19147333.0
JPN,1979,19264940.0
JPN,1980,19608959.0
JPN,1981,19675315.0
JPN,1982,19535444.0
JPN,1983,19704813.0
JPN,1984,19777857.0
JPN,1985,19861261.0
JPN,1986,19815019.0
JPN,1987,19648642.0
JPN,1988,20256497.0
JPN,1989,20774615.0
JPN,1990,21054788.0
JPN,1991,21602656.0
JPN,1992,21769095.0
JPN,1993,21482202.0
JPN,1994,21147425.0
JPN,1995,20680371.0
JPN,1996,20490531.0
JPN,1997,20521439.0
JPN,1998,19636495.0
JPN,1999,19127676.0
JPN,2000,18779244.0
JPN,2001,18200357.0
JPN,2002,17464319.0
JPN,2003,17080565.0
JPN,2004,16656791.0
JPN,2005,16448997.0
JPN,2006,16529746.0
JPN,2007,16517317.0
JPN,2008,15620365.0
JPN,2009,13726583.0
JPN,2010,13376766.0
JPN,2011,13269731.0
JPN,2012,13143980.0
NLD,1807,227690.0
NLD,1849,389350.0
NLD,1859,415480.0
NLD,1889,547810.0
NLD,1899,652111.0
NLD,1909,789056.0
NLD,1920,968000.0
NLD,1930,1159000.0
NLD,1947,1425000.0
NLD,1949,1451712.0
NLD,1960,1763397.0
NLD,1961,1809842.0
NLD,1962,1843221.0
NLD,1963,1888475.0
NLD,1964,1912890.0
NLD,1965,1908489.0
NLD,1966,1852134.0
NLD,1967,1863093.0
NLD,1968,1873003.0
NLD,1969,1882296.0
NLD,1970,1855014.0
NLD,1971,1792186.0
NLD,1972,1778917.0
NLD,1973,1754928.0
NLD,1974,1707602.0
NLD,1975,1671105.0
NLD,1976,1657468.0
NLD,1977,1654215.0
NLD,1978,1663499.0
NLD,1979,1646916.0
NLD,1980,1573453.0
NLD,1981,1492058.0
NLD,1982,1420996.0
NLD,1983,1406587.0
NLD,1984,1420798.0
NLD,1985,1454696.0
NLD,1986,1472044.0
NLD,1987,1484307.0
NLD,1988,1510742.0
NLD,1989,1542152.0
NLD,1990,1563645.0
NLD,1991,1543087.0
NLD,1992,1507720.0
NLD,1993,1469862.0
NLD,1994,1476964.0
NLD,1995,1466584.0
NLD,1996,1456623.0
NLD,1997,1487251.0
NLD,1998,1504252.0
NLD,1999,1521344.0
NLD,2000,1541602.0
NLD,2001,1545029.0
NLD,2002,1519556.0
NLD,2003,1466845.0
NLD,2004,1430770.0
NLD,2005,1410710.0
NLD,2006,1416144.0
NLD,2007,1426124.0
NLD,2008,1455493.0
NLD,2009,1433222.0
NLD,2010,1395651.0
NLD,2011,1409108.0
KOR,1955,628000.0
KOR,1963,865298.0
KOR,1964,878849.0
KOR,1965,1093331.0
KOR,1966,1128714.0
KOR,1967,1382525.0
KOR,1968,1607609.0
KOR,1969,1693415.0
KOR,1970,1668836.0
KOR,1971,1789329.0
KOR,1972,1908622.0
KOR,1973,2214194.0
KOR,1974,2537596.0
KOR,1975,2803819.0
KOR,1976,3305696.0
KOR,1977,3559311.0
KOR,1978,3981189.0
KOR,1979,4111436.0
KOR,1980,3972601.0
KOR,1981,3893384.0
KOR,1982,4010190.0
KOR,1983,4231314.0
KOR,1984,4435589.0
KOR,1985,4610823.0
KOR,1986,4944642.0
KOR,1987,5572524.0
KOR,1988,5888602.0
KOR,1989,6137838.0
KOR,1990,6360225.0
KOR,1991,6674092.0
KOR,1992,6612889.0
KOR,1993,6444604.0
KOR,1994,6561634.0
KOR,1995,6757000.0
KOR,1996,6731000.0
KOR,1997,6590000.0
KOR,1998,5517000.0
KOR,1999,5521000.0
KOR,2000,5890000.0
KOR,2001,5870000.0
KOR,2002,6005000.0
KOR,2003,6038000.0
KOR,2004,6126000.0
KOR,2005,6065000.0
KOR,2006,6020000.0
KOR,2007,5987000.0
KOR,2008,6023531.0
KOR,2009,6005393.0
KOR,2010,6245267.0
ESP,1860,1190000.0
ESP,1877,898000.0
ESP,1887,1116000.0
ESP,1900,1027000.0
ESP,1910,1034000.0
ESP,1920,1695000.0
ESP,1940,2213000.0
ESP,1950,2709000.0
ESP,1964,4234000.0
ESP,1970,4091907.0
ESP,1971,4165554.0
ESP,1972,4265160.0
ESP,1973,4369876.0
ESP,1974,4407526.0
ESP,1975,4445255.0
ESP,1976,4439675.0
ESP,1977,4436634.0
ESP,1978,4356801.0
ESP,1979,4285685.0
ESP,1980,4108311.0
ESP,1981,3841464.0
ESP,1982,3696481.0
ESP,1983,3615219.0
ESP,1984,3420629.0
ESP,1985,3305484.0
ESP,1986,3407031.0
ESP,1987,3599888.0
ESP,1988,3751373.0
ESP,1989,3957067.0
ESP,1990,4145684.0
ESP,1991,4163159.0
ESP,1992,3987515.0
ESP,1993,3722549.0
ESP,1994,3638302.0
ESP,1995,3744928.0
ESP,1996,3828885.0
ESP,1997,4056636.0
ESP,1998,4277810.0
ESP,1999,4551222.0
ESP,2000,4832931.0
ESP,2001,5021176.0
ESP,2002,5108891.0
ESP,2003,5224417.0
ESP,2004,5376660.0
ESP,2005,5575659.0
ESP,2006,5718533.0
ESP,2007,5848385.0
SWE,1850,176348.0
SWE,1851,190021.0
SWE,1852,188188.0
SWE,1853,191346.0
SWE,1854,190294.0
SWE,1855,197182.0
SWE,1856,207467.0
SWE,1857,204836.0
SWE,1858,204667.0
SWE,1859,220366.0
SWE,1860,232924.0
SWE,1861,238022.0
SWE,1862,233388.0
SWE,1863,245587.0
SWE,1864,266905.0
SWE,1865,271458.0
SWE,1866,271874.0
SWE,1867,263977.0
SWE,1868,256295.0
SWE,1869,266886.0
SWE,1870,280677.0
SWE,1871,291766.0
SWE,1872,294898.0
SWE,1873,335759.0
SWE,1874,356322.0
SWE,1875,348653.0
SWE,1876,379090.0
SWE,1877,389049.0
SWE,1878,422226.0
SWE,1879,434419.0
SWE,1880,397167.0
SWE,1881,404550.0
SWE,1882,365719.0
SWE,1883,401068.0
SWE,1884,384193.0
SWE,1885,425245.0
SWE,1886,476603.0
SWE,1887,432844.0
SWE,1888,440000.0
SWE,1889,454071.0
SWE,1890,444738.0
SWE,1891,431186.0
SWE,1892,443481.0
SWE,1893,448168.0
SWE,1894,455866.0
SWE,1895,502190.0
SWE,1896,476183.0
SWE,1897,525125.0
SWE,1898,536108.0
SWE,1899,563677.0
SWE,1900,582412.0
SWE,1901,571783.0
SWE,1902,569865.0
SWE,1903,617692.0
SWE,1904,623598.0
SWE,1905,642310.0
SWE,1906,651679.0
SWE,1907,627357.0
SWE,1908,613385.0
SWE,1909,616562.0
SWE,1910,624215.0
SWE,1911,656649.0
SWE,1912,675413.0
SWE,1913,709367.0
SWE,1914,720829.0
SWE,1915,709502.0
SWE,1916,717628.0
SWE,1917,704644.0
SWE,1918,711563.0
SWE,1919,737143.0
SWE,1920,758713.0
SWE,1921,704705.0
SWE,1922,708143.0
SWE,1923,730484.0
SWE,1924,775312.0
SWE,1925,833520.0
SWE,1926,834773.0
SWE,1927,842709.0
SWE,1928,892174.0
SWE,1929,905940.0
SWE,1930,965612.0
SWE,1931,921353.0
SWE,1932,867641.0
SWE,1933,840885.0
SWE,1934,917284.0
SWE,1935,982578.0
SWE,1936,1035609.0
SWE,1937,1065179.0
SWE,1938,1094135.0
SWE,1939,1141761.0
SWE,1940,1040321.0
SWE,1941,1032153.0
SWE,1942,1104812.0
SWE,1943,1142832.0
SWE,1944,1161252.0
SWE,1945,1221960.0
SWE,1946,1265713.0
SWE,1947,1302566.0
SWE,1948,1291968.0
SWE,1949,1291057.0
SWE,1950,1301433.0
SWE,1951,1317648.0
SWE,1952,1333953.0
SWE,1953,1350350.0
SWE,1954,1366837.0
SWE,1955,1383416.0
SWE,1956,1400087.0
SWE,1957,1416848.0
SWE,1958,1433701.0
SWE,1959,1450644.0
SWE,1960,1467679.0
SWE,1961,1472896.0
SWE,1962,1477941.0
SWE,1963,1482814.0
SWE,1964,1487516.0
SWE,1965,1492046.0
SWE,1966,1466526.0
SWE,1967,1440971.0
SWE,1968,1415383.0
SWE,1969,1389760.0
SWE,1970,1364103.0
SWE,1971,1294871.0
SWE,1972,1283065.0
SWE,1973,1292207.0
SWE,1974,1306320.0
SWE,1975,1311516.0
SWE,1976,1300464.0
SWE,1977,1253447.0
SWE,1978,1225807.0
SWE,1979,1224482.0
SWE,1980,1234498.0
SWE,1981,1205297.0
SWE,1982,1168561.0
SWE,1983,1140081.0
SWE,1984,1137541.0
SWE,1985,1147944.0
SWE,1986,1148883.0
SWE,1987,1148011.0
SWE,1988,1163677.0
SWE,1989,1164233.0
SWE,1990,1137705.0
SWE,1991,1083831.0
SWE,1992,989859.0
SWE,1993,921355.0
SWE,1994,902824.0
SWE,1995,946629.0
SWE,1996,937601.0
SWE,1997,931080.0
SWE,1998,951722.0
SWE,1999,957059.0
SWE,2000,970672.0
SWE,2001,996631.0
SWE,2002,983320.0
SWE,2003,963108.0
SWE,2004,937055.0
SWE,2005,936932.0
SWE,2006,946252.0
SWE,2007,978322.0
SWE,2008,999326.0
SWE,2009,935977.0
SWE,2010,937324.0
GBR,1801,1725000.0
GBR,1841,3057000.0
GBR,1851,3059000.0
GBR,1861,5365000.0
GBR,1871,5960000.0
GBR,1881,6470000.0
GBR,1891,7260000.0
GBR,1901,8200000.0
GBR,1911,8990000.0
GBR,1920,9645000.0
GBR,1921,7948000.0
GBR,1922,8120000.0
GBR,1923,8384000.0
GBR,1924,8539000.0
GBR,1925,8555000.0
GBR,1926,8413000.0
GBR,1927,8776000.0
GBR,1928,8699000.0
GBR,1929,8812000.0
GBR,1930,8365000.0
GBR,1931,7863000.0
GBR,1932,7818000.0
GBR,1933,8063000.0
GBR,1934,8448000.0
GBR,1935,8661000.0
GBR,1936,9095000.0
GBR,1937,9525000.0
GBR,1938,9431000.0
GBR,1948,10574933.0
GBR,1949,10690912.0
GBR,1950,10834051.0
GBR,1951,11026674.0
GBR,1952,10940487.0
GBR,1953,11073870.0
GBR,1954,11290504.0
GBR,1955,11499188.0
GBR,1956,11563987.0
GBR,1957,11560033.0
GBR,1958,11371060.0
GBR,1959,11405188.0
GBR,1960,11662121.0
GBR,1961,11777130.0
GBR,1962,11669904.0
GBR,1963,11541441.0
GBR,1964,11730118.0
GBR,1965,11827002.0
GBR,1966,11811130.0
GBR,1967,11428006.0
GBR,1968,11224487.0
GBR,1969,11198603.0
GBR,1970,11000935.0
GBR,1971,10779494.0
GBR,1972,10527157.0
GBR,1973,10668961.0
GBR,1974,10625042.0
GBR,1975,10236469.0
GBR,1976,9991972.0
GBR,1977,9994326.0
GBR,1978,9769007.0
GBR,1979,9753450.0
GBR,1980,9466027.0
GBR,1981,8641485.0
GBR,1982,8199975.0
GBR,1983,7824654.0
GBR,1984,7776214.0
GBR,1985,7710460.0
GBR,1986,7503615.0
GBR,1987,7524221.0
GBR,1988,7644564.0
GBR,1989,7849759.0
GBR,1990,7741974.0
GBR,1991,7108901.0
GBR,1992,6680303.0
GBR,1993,6322228.0
GBR,1994,6303142.0
GBR,1995,6364875.0
GBR,1996,6333495.0
GBR,1997,6361202.0
GBR,1998,6422004.0
GBR,1999,6259334.0
GBR,2000,6147598.0
GBR,2001,6023851.0
GBR,2002,5847906.0
GBR,2003,5726752.0
GBR,2004,5628674.0
GBR,2005,5544965.0
GBR,2006,5490047.0
GBR,2007,5478726.0
GBR,2008,5316355.0
GBR,2009,4958757.0
GBR,2010,5284408.0
GBR,2011,5513972.0
USA,1840,822000.0
USA,1850,1712000.0
USA,1860,2226000.0
USA,1870,3430000.0
USA,1880,4470000.0
USA,1890,6340000.0
USA,1900,8197000.0
USA,1910,11349000.0
USA,1920,13603000.0
USA,1929,13879000.0
USA,1930,12557000.0
USA,1931,10805000.0
USA,1932,9091000.0
USA,1933,9380000.0
USA,1934,10758000.0
USA,1935,11373000.0
USA,1936,12429000.0
USA,1937,13417000.0
USA,1938,11812000.0
USA,1939,12820000.0
USA,1940,13915000.0
USA,1941,16738000.0
USA,1942,19310000.0
USA,1943,20677000.0
USA,1944,19769000.0
USA,1945,17915000.0
USA,1946,18133000.0
USA,1947,19371000.0
USA,1948,20294000.0
USA,1949,18888000.0
USA,1950,19880000.0
USA,1951,21265000.0
USA,1952,21454000.0
USA,1953,22088000.0
USA,1954,20605000.0
USA,1955,21150000.0
USA,1956,21574000.0
USA,1957,21471000.0
USA,1958,19778000.0
USA,1959,20646000.0
USA,1960,20710000.0
USA,1961,20221000.0
USA,1962,20865000.0
USA,1963,21042000.0
USA,1964,21376000.0
USA,1965,22449000.0
USA,1966,23737000.0
USA,1967,23924000.0
USA,1968,24344000.0
USA,1969,24939000.0
USA,1970,23985000.0
USA,1971,23214000.0
USA,1972,23943000.0
USA,1973,25347000.0
USA,1974,25321000.0
USA,1975,23113000.0
USA,1976,24030000.0
USA,1977,25123000.0
USA,1978,26614000.0
USA,1979,27534000.0
USA,1980,26633000.0
USA,1981,26509000.0
USA,1982,24618000.0
USA,1983,24246000.0
USA,1984,25740000.0
USA,1985,25865000.0
USA,1986,25675000.0
USA,1987,25812000.0
USA,1988,26411000.0
USA,1989,26498000.0
USA,1990,26217000.0
USA,1991,25068000.0
USA,1992,24506000.0
USA,1993,24768000.0
USA,1994,25350000.0
USA,1995,25748000.0
USA,1996,25976000.0
USA,1997,26468000.0
USA,1998,26949000.0
USA,1999,27034000.0
USA,2000,27280000.0
USA,2001,25535000.0
USA,2002,24171000.0
USA,2003,23522000.0
USA,2004,23753000.0
USA,2005,24018000.0
USA,2006,24405000.0
USA,2007,24140000.0
USA,2008,23177000.0
USA,2009,20154000.0
USA,2010,19315000.0
USA,2011,19453000.0
USA,2012,19798000.0
USA,2013,20113000.0
USA,2014,20779000.0
USA,2015,21105000.0
